model,dataset,f1_binary,f1_multi,degradation_pct
XGBoost,cicids2017,0.9982,0.8615,13.694650370667194
XGBoost,ton_iot,0.9969,0.8789,11.836693750626944
XGBoost,unsw_nb15,0.9856,0.5214,47.09821428571429
RandomForest,cicids2017,0.9966,0.7909,20.6401766004415
RandomForest,ton_iot,0.9956,0.7974,19.90759341100844
RandomForest,unsw_nb15,0.9874,0.525,46.83005874012559
LightGBM,cicids2017,0.9983,0.1973,80.23640188320144
LightGBM,ton_iot,0.9976,0.8793,11.858460304731363
LightGBM,unsw_nb15,0.986,0.404,59.02636916835699
SVM,cicids2017,0.8935,0.3741,58.13094571908226
SVM,ton_iot,0.8589,0.5355,37.65281173594132
SVM,unsw_nb15,0.9732,0.2598,73.30456226880395
kNN,cicids2017,0.9971,0.7614,23.638551800220643
kNN,ton_iot,0.9944,0.568,42.88012872083669
kNN,unsw_nb15,0.9787,0.4033,58.79227546745683
MLP,cicids2017,0.9762,0.675,30.854333128457274
MLP,ton_iot,0.95,0.6278,33.91578947368421
MLP,unsw_nb15,0.9824,0.4254,56.69788273615636
CNN1D,cicids2017,0.9062,0.3206,64.62149635841978
CNN1D,ton_iot,0.9255,0.5646,38.995137763371154
CNN1D,unsw_nb15,0.9737,0.3831,60.65523261784944
BiLSTM,cicids2017,0.8042,0.3053,62.03680676448644
BiLSTM,ton_iot,0.7907,0.2649,66.4980397116479
BiLSTM,unsw_nb15,0.9741,0.4248,56.3905143209116
