accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,roc_auc,pr_auc,dataset,task,scheme,fold,model,n_train,n_test,excluded_test_frac,n_classes_seen,fit_seconds
0.9977,0.9967,0.997,0.9967,0.9969,0.9999,1.0,ton_iot,binary,stratified,1,XGBoost,168834,42209,0.0,2,4.8
0.9982,0.9973,0.9977,0.9973,0.9975,0.9999,1.0,ton_iot,binary,stratified,1,LightGBM,168834,42209,0.0,2,32.8
0.9969,0.9945,0.9969,0.9945,0.9957,0.9993,0.9997,ton_iot,binary,stratified,1,RandomForest,168834,42209,0.0,2,7.0
0.998,0.997,0.9975,0.997,0.9972,0.9999,1.0,ton_iot,binary,stratified,2,XGBoost,168834,42209,0.0,2,7.6
0.9983,0.9972,0.9982,0.9972,0.9977,1.0,1.0,ton_iot,binary,stratified,2,LightGBM,168834,42209,0.0,2,38.1
0.9971,0.9947,0.9973,0.9947,0.996,0.9993,0.9997,ton_iot,binary,stratified,2,RandomForest,168834,42209,0.0,2,6.0
0.9977,0.9966,0.9971,0.9966,0.9969,0.9999,1.0,ton_iot,binary,stratified,3,XGBoost,168834,42209,0.0,2,11.1
0.9985,0.9974,0.9983,0.9974,0.9979,0.9999,1.0,ton_iot,binary,stratified,3,LightGBM,168834,42209,0.0,2,23.8
0.9967,0.994,0.9968,0.994,0.9954,0.9993,0.9997,ton_iot,binary,stratified,3,RandomForest,168834,42209,0.0,2,7.1
0.9979,0.9967,0.9976,0.9967,0.9971,0.9999,1.0,ton_iot,binary,stratified,4,XGBoost,168835,42208,0.0,2,41.9
0.9984,0.9972,0.9985,0.9972,0.9978,1.0,1.0,ton_iot,binary,stratified,4,LightGBM,168835,42208,0.0,2,9.4
0.997,0.9944,0.9973,0.9944,0.9958,0.9997,0.9999,ton_iot,binary,stratified,4,RandomForest,168835,42208,0.0,2,13.6
0.9975,0.9958,0.9972,0.9958,0.9965,0.9998,0.9999,ton_iot,binary,stratified,5,XGBoost,168835,42208,0.0,2,30.7
0.998,0.9965,0.9979,0.9965,0.9972,0.9999,1.0,ton_iot,binary,stratified,5,LightGBM,168835,42208,0.0,2,4.8
0.9964,0.9934,0.9966,0.9934,0.995,0.9992,0.9997,ton_iot,binary,stratified,5,RandomForest,168835,42208,0.0,2,6.6
0.9978,0.8219,0.6018,0.8219,0.6544,0.9912,1.0,ton_iot,binary,group,1,XGBoost,149410,61633,0.0,2,5.4
0.9969,0.8215,0.5747,0.8215,0.6208,0.9918,1.0,ton_iot,binary,group,1,LightGBM,149410,61633,0.0,2,6.2
0.9985,0.7911,0.6385,0.7911,0.6875,0.9616,1.0,ton_iot,binary,group,1,RandomForest,149410,61633,0.0,2,6.1
0.9107,0.7402,0.9389,0.7402,0.7973,0.9927,0.9986,ton_iot,binary,group,2,XGBoost,173690,37353,0.0,2,3.8
0.9185,0.7617,0.947,0.7617,0.8188,0.9985,0.9997,ton_iot,binary,group,2,LightGBM,173690,37353,0.0,2,3.5
0.9115,0.7391,0.9469,0.7391,0.7976,0.98,0.9962,ton_iot,binary,group,2,RandomForest,173690,37353,0.0,2,7.0
0.9607,0.9382,0.9569,0.9382,0.947,0.9694,0.9798,ton_iot,binary,group,3,XGBoost,173690,37353,0.0,2,3.0
0.97,0.9528,0.9673,0.9528,0.9598,0.9721,0.9809,ton_iot,binary,group,3,LightGBM,173690,37353,0.0,2,2.1
0.976,0.9557,0.9809,0.9557,0.9674,0.9667,0.9739,ton_iot,binary,group,3,RandomForest,173690,37353,0.0,2,6.1
0.9928,0.9893,0.985,0.9893,0.9871,0.9959,0.9991,ton_iot,binary,group,4,XGBoost,173691,37352,0.0,2,3.1
0.9926,0.9894,0.9843,0.9894,0.9868,0.9985,0.9997,ton_iot,binary,group,4,LightGBM,173691,37352,0.0,2,3.6
0.9927,0.9884,0.9856,0.9884,0.987,0.9889,0.997,ton_iot,binary,group,4,RandomForest,173691,37352,0.0,2,7.3
0.8064,0.87,0.7829,0.87,0.787,0.9973,0.9948,ton_iot,binary,group,5,XGBoost,173691,37352,0.0,2,2.9
0.8079,0.8711,0.7839,0.8711,0.7885,0.9967,0.9916,ton_iot,binary,group,5,LightGBM,173691,37352,0.0,2,2.3
0.8081,0.8712,0.784,0.8712,0.7887,0.9992,0.9972,ton_iot,binary,group,5,RandomForest,173691,37352,0.0,2,6.1
0.9056,0.8867,0.879,0.8867,0.8805,0.9917,,ton_iot,multi,stratified,1,XGBoost,168834,42209,0.0,10,30.6
0.9064,0.886,0.8833,0.886,0.8827,0.9918,,ton_iot,multi,stratified,1,LightGBM,168834,42209,0.0,10,29.2
0.8363,0.8109,0.8351,0.8109,0.7971,0.9793,,ton_iot,multi,stratified,1,RandomForest,168834,42209,0.0,10,5.7
0.9067,0.8852,0.8786,0.8852,0.8791,0.992,,ton_iot,multi,stratified,2,XGBoost,168834,42209,0.0,10,36.3
0.9072,0.8831,0.8837,0.8831,0.8811,0.992,,ton_iot,multi,stratified,2,LightGBM,168834,42209,0.0,10,21.6
0.8359,0.807,0.8353,0.807,0.7949,0.9797,,ton_iot,multi,stratified,2,RandomForest,168834,42209,0.0,10,6.4
0.9058,0.8822,0.8831,0.8822,0.8805,0.9919,,ton_iot,multi,stratified,3,XGBoost,168834,42209,0.0,10,33.5
0.9066,0.8825,0.8842,0.8825,0.8814,0.9917,,ton_iot,multi,stratified,3,LightGBM,168834,42209,0.0,10,22.2
0.8359,0.8127,0.838,0.8127,0.7994,0.9796,,ton_iot,multi,stratified,3,RandomForest,168834,42209,0.0,10,5.7
0.8996,0.8793,0.8727,0.8793,0.8732,0.9909,,ton_iot,multi,stratified,4,XGBoost,168835,42208,0.0,10,32.8
0.8999,0.8764,0.8746,0.8764,0.8734,0.9908,,ton_iot,multi,stratified,4,LightGBM,168835,42208,0.0,10,20.1
0.8313,0.8038,0.8338,0.8038,0.7928,0.9785,,ton_iot,multi,stratified,4,RandomForest,168835,42208,0.0,10,6.1
0.906,0.8888,0.8784,0.8888,0.8808,0.9919,,ton_iot,multi,stratified,5,XGBoost,168835,42208,0.0,10,35.1
0.9058,0.8827,0.8775,0.8827,0.8777,0.9918,,ton_iot,multi,stratified,5,LightGBM,168835,42208,0.0,10,22.6
0.844,0.8205,0.8402,0.8205,0.8027,0.9795,,ton_iot,multi,stratified,5,RandomForest,168835,42208,0.0,10,5.2
0.6551,0.7416,0.4545,0.445,0.3789,,,ton_iot,multi,group,1,XGBoost,149410,61633,0.0,10,31.2
0.6548,0.7456,0.4626,0.4473,0.3884,,,ton_iot,multi,group,1,LightGBM,149410,61633,0.0,10,21.2
0.6195,0.6904,0.4792,0.4142,0.3875,,,ton_iot,multi,group,1,RandomForest,149410,61633,0.0,10,5.3
0.8146,0.7055,0.5535,0.5644,0.5316,,,ton_iot,multi,group,2,XGBoost,173690,37353,0.0,10,34.8
0.8556,0.7388,0.5733,0.591,0.5651,,,ton_iot,multi,group,2,LightGBM,173690,37353,0.0,10,18.8
0.6925,0.6611,0.5583,0.5289,0.5252,,,ton_iot,multi,group,2,RandomForest,173690,37353,0.0,10,5.9
0.9311,0.7159,0.2266,0.3182,0.223,,,ton_iot,multi,group,3,XGBoost,173690,17353,0.5354,9,29.5
0.9405,0.7203,0.2263,0.3201,0.2233,,,ton_iot,multi,group,3,LightGBM,173690,17353,0.5354,9,19.4
0.89,0.6933,0.2252,0.3081,0.2145,,,ton_iot,multi,group,3,RandomForest,173690,17353,0.5354,9,6.3
0.4178,0.6701,0.4096,0.3351,0.2838,,,ton_iot,multi,group,4,XGBoost,173691,37352,0.0,10,36.7
0.419,0.6681,0.4132,0.3341,0.2877,,,ton_iot,multi,group,4,LightGBM,173691,37352,0.0,10,21.3
0.4183,0.6801,0.4109,0.3401,0.2877,,,ton_iot,multi,group,4,RandomForest,173691,37352,0.0,10,7.1
0.7679,0.7059,0.2548,0.353,0.254,,,ton_iot,multi,group,5,XGBoost,173691,37352,0.0,10,35.2
0.7691,0.7062,0.2551,0.3531,0.2529,,,ton_iot,multi,group,5,LightGBM,173691,37352,0.0,10,24.6
0.7697,0.7064,0.2523,0.3532,0.2524,,,ton_iot,multi,group,5,RandomForest,173691,37352,0.0,10,6.8
0.9937,0.9837,0.9877,0.9837,0.9857,0.9998,0.9984,unsw_nb15,binary,stratified,1,XGBoost,1600000,400000,0.0,2,31.5
0.9938,0.9838,0.988,0.9838,0.9859,0.9998,0.9984,unsw_nb15,binary,stratified,1,LightGBM,1600000,400000,0.0,2,16.6
0.9945,0.9868,0.9883,0.9868,0.9876,0.9998,0.9984,unsw_nb15,binary,stratified,1,RandomForest,1600000,400000,0.0,2,129.6
0.9937,0.9838,0.9876,0.9838,0.9857,0.9998,0.9984,unsw_nb15,binary,stratified,2,XGBoost,1600000,400000,0.0,2,33.2
0.994,0.9846,0.9883,0.9846,0.9865,0.9998,0.9985,unsw_nb15,binary,stratified,2,LightGBM,1600000,400000,0.0,2,24.8
0.9946,0.9872,0.9882,0.9872,0.9877,0.9998,0.9985,unsw_nb15,binary,stratified,2,RandomForest,1600000,400000,0.0,2,125.0
0.9935,0.9833,0.9871,0.9833,0.9852,0.9997,0.9983,unsw_nb15,binary,stratified,3,XGBoost,1600000,400000,0.0,2,39.3
0.9938,0.9839,0.9878,0.9839,0.9859,0.9998,0.9984,unsw_nb15,binary,stratified,3,LightGBM,1600000,400000,0.0,2,24.5
0.9942,0.9864,0.9874,0.9864,0.9869,0.9998,0.9984,unsw_nb15,binary,stratified,3,RandomForest,1600000,400000,0.0,2,145.0
0.9937,0.9835,0.9879,0.9835,0.9857,0.9998,0.9983,unsw_nb15,binary,stratified,4,XGBoost,1600000,400000,0.0,2,29.3
0.9937,0.9834,0.9879,0.9834,0.9856,0.9997,0.9969,unsw_nb15,binary,stratified,4,LightGBM,1600000,400000,0.0,2,16.7
0.9945,0.9868,0.9884,0.9868,0.9876,0.9998,0.9984,unsw_nb15,binary,stratified,4,RandomForest,1600000,400000,0.0,2,126.1
0.9937,0.9835,0.9879,0.9835,0.9857,0.9998,0.9983,unsw_nb15,binary,stratified,5,XGBoost,1600000,400000,0.0,2,37.5
0.9938,0.9839,0.9881,0.9839,0.986,0.9998,0.9984,unsw_nb15,binary,stratified,5,LightGBM,1600000,400000,0.0,2,22.4
0.9943,0.9866,0.9877,0.9866,0.9872,0.9998,0.9984,unsw_nb15,binary,stratified,5,RandomForest,1600000,400000,0.0,2,137.4
1.0,1.0,1.0,1.0,1.0,,0.0,unsw_nb15,binary,temporal,1,XGBoost,400000,400000,0.0,2,9.0
1.0,1.0,1.0,1.0,1.0,,0.0,unsw_nb15,binary,temporal,1,LightGBM,400000,400000,0.0,2,6.9
1.0,1.0,1.0,1.0,1.0,,0.0,unsw_nb15,binary,temporal,1,RandomForest,400000,400000,0.0,2,25.3
0.9864,0.9839,0.9693,0.9839,0.9764,0.9986,0.9911,unsw_nb15,binary,temporal,2,XGBoost,800000,400000,0.0,2,15.7
0.9864,0.9841,0.969,0.9841,0.9764,0.9983,0.9874,unsw_nb15,binary,temporal,2,LightGBM,800000,400000,0.0,2,10.7
0.9864,0.9837,0.9693,0.9837,0.9763,0.9955,0.9637,unsw_nb15,binary,temporal,2,RandomForest,800000,400000,0.0,2,54.2
0.9892,0.9838,0.9849,0.9838,0.9843,0.9996,0.9985,unsw_nb15,binary,temporal,3,XGBoost,1200000,400000,0.0,2,24.2
0.9892,0.9838,0.9849,0.9838,0.9843,0.9996,0.9985,unsw_nb15,binary,temporal,3,LightGBM,1200000,400000,0.0,2,15.3
0.989,0.9844,0.9838,0.9844,0.9841,0.9995,0.9983,unsw_nb15,binary,temporal,3,RandomForest,1200000,400000,0.0,2,96.3
0.9892,0.9824,0.9831,0.9824,0.9827,0.9995,0.9981,unsw_nb15,binary,temporal,4,XGBoost,1600000,400000,0.0,2,33.7
0.9894,0.9828,0.9833,0.9828,0.9831,0.9995,0.9981,unsw_nb15,binary,temporal,4,LightGBM,1600000,400000,0.0,2,21.3
0.9891,0.9827,0.9826,0.9827,0.9827,0.9995,0.9981,unsw_nb15,binary,temporal,4,RandomForest,1600000,400000,0.0,2,129.8
0.9896,0.9786,0.9798,0.9786,0.9792,0.9995,0.9972,unsw_nb15,binary,group,1,XGBoost,1601383,398617,0.0,2,30.5
0.9899,0.98,0.9797,0.98,0.9799,0.9995,0.9972,unsw_nb15,binary,group,1,LightGBM,1601383,398617,0.0,2,17.1
0.9897,0.9804,0.9788,0.9804,0.9795,0.9994,0.9959,unsw_nb15,binary,group,1,RandomForest,1601383,398617,0.0,2,141.5
0.9898,0.9849,0.9844,0.9849,0.9846,0.9996,0.9985,unsw_nb15,binary,group,2,XGBoost,1601353,398647,0.0,2,31.7
0.9897,0.985,0.984,0.985,0.9845,0.9996,0.9985,unsw_nb15,binary,group,2,LightGBM,1601353,398647,0.0,2,19.2
0.9894,0.9851,0.9831,0.9851,0.9841,0.9995,0.9982,unsw_nb15,binary,group,2,RandomForest,1601353,398647,0.0,2,124.8
0.9908,0.9869,0.9872,0.9869,0.987,0.9997,0.999,unsw_nb15,binary,group,3,XGBoost,1594530,405470,0.0,2,35.8
0.9908,0.9871,0.987,0.9871,0.987,0.9997,0.9989,unsw_nb15,binary,group,3,LightGBM,1594530,405470,0.0,2,23.7
0.9904,0.987,0.9857,0.987,0.9864,0.9995,0.9982,unsw_nb15,binary,group,3,RandomForest,1594530,405470,0.0,2,132.2
0.9915,0.9461,0.9536,0.9461,0.9498,0.9989,0.9778,unsw_nb15,binary,group,4,XGBoost,1601381,398619,0.0,2,29.5
0.9916,0.9476,0.9539,0.9476,0.9508,0.9989,0.9786,unsw_nb15,binary,group,4,LightGBM,1601381,398619,0.0,2,16.9
0.9915,0.9502,0.9508,0.9502,0.9505,0.9989,0.9772,unsw_nb15,binary,group,4,RandomForest,1601381,398619,0.0,2,132.1
1.0,1.0,1.0,1.0,1.0,,0.0,unsw_nb15,binary,group,5,XGBoost,1601353,398647,0.0,2,29.9
1.0,1.0,1.0,1.0,1.0,,0.0,unsw_nb15,binary,group,5,LightGBM,1601353,398647,0.0,2,22.1
1.0,1.0,1.0,1.0,1.0,,0.0,unsw_nb15,binary,group,5,RandomForest,1601353,398647,0.0,2,150.2
0.9811,0.5449,0.7431,0.5449,0.5688,0.9969,,unsw_nb15,multi,stratified,1,XGBoost,1600000,400000,0.0,10,346.6
0.977,0.4941,0.493,0.4941,0.4782,0.9134,,unsw_nb15,multi,stratified,1,LightGBM,1600000,400000,0.0,10,203.8
0.9814,0.544,0.7086,0.544,0.5732,0.9891,,unsw_nb15,multi,stratified,1,RandomForest,1600000,400000,0.0,10,125.1
0.981,0.5333,0.7333,0.5333,0.5535,0.9966,,unsw_nb15,multi,stratified,2,XGBoost,1600000,400000,0.0,10,327.0
0.9662,0.3768,0.3781,0.3768,0.3738,0.7001,,unsw_nb15,multi,stratified,2,LightGBM,1600000,400000,0.0,10,176.9
0.9814,0.5291,0.6966,0.5291,0.5548,0.9913,,unsw_nb15,multi,stratified,2,RandomForest,1600000,400000,0.0,10,123.3
0.9813,0.5425,0.7267,0.5425,0.5641,0.9969,,unsw_nb15,multi,stratified,3,XGBoost,1600000,400000,0.0,10,325.7
0.9787,0.5093,0.5218,0.5093,0.5049,0.9371,,unsw_nb15,multi,stratified,3,LightGBM,1600000,400000,0.0,10,199.0
0.9815,0.5491,0.7134,0.5491,0.5769,0.9894,,unsw_nb15,multi,stratified,3,RandomForest,1600000,400000,0.0,10,122.5
0.9814,0.5567,0.7571,0.5567,0.578,0.9969,,unsw_nb15,multi,stratified,4,XGBoost,1600000,400000,0.0,10,327.5
0.9754,0.4926,0.4848,0.4926,0.4838,0.8624,,unsw_nb15,multi,stratified,4,LightGBM,1600000,400000,0.0,10,235.8
0.9817,0.5506,0.7716,0.5506,0.5872,0.9911,,unsw_nb15,multi,stratified,4,RandomForest,1600000,400000,0.0,10,124.5
