accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,roc_auc,pr_auc,dataset,config,fold,n_features
0.9986,0.9983,0.9971,0.9983,0.9977,0.9999,0.9998,cicids2017,No FS,1,77
0.9976,0.996,0.9965,0.996,0.9962,0.9999,0.9997,cicids2017,MI only (top 30),1,30
0.9958,0.9934,0.9934,0.9934,0.9934,0.9997,0.9983,cicids2017,RF only (top 15),1,15
0.9959,0.9934,0.9934,0.9934,0.9934,0.9997,0.9983,cicids2017,Hybrid MI-RF (15),1,15
0.999,0.9985,0.9982,0.9985,0.9983,0.9999,0.9998,cicids2017,No FS,2,77
0.998,0.9964,0.9974,0.9964,0.9969,0.9999,0.9997,cicids2017,MI only (top 30),2,30
0.9963,0.9948,0.9935,0.9948,0.9942,0.9997,0.9984,cicids2017,RF only (top 15),2,15
0.9963,0.9948,0.9935,0.9948,0.9942,0.9997,0.9984,cicids2017,Hybrid MI-RF (15),2,15
0.9984,0.9977,0.9971,0.9977,0.9974,0.9999,0.9998,cicids2017,No FS,3,77
0.9977,0.9961,0.9967,0.9961,0.9964,0.9999,0.9997,cicids2017,MI only (top 30),3,30
0.9969,0.9954,0.9947,0.9954,0.9951,0.9998,0.9987,cicids2017,RF only (top 15),3,15
0.9976,0.9959,0.9965,0.9959,0.9962,0.9999,0.9996,cicids2017,Hybrid MI-RF (15),3,15
0.9985,0.9981,0.9972,0.9981,0.9976,0.9999,0.9996,cicids2017,No FS,4,77
0.998,0.9968,0.9971,0.9968,0.9969,0.9999,0.9996,cicids2017,MI only (top 30),4,30
0.9968,0.9955,0.9944,0.9955,0.995,0.9997,0.9983,cicids2017,RF only (top 15),4,15
0.9962,0.9952,0.993,0.9952,0.9941,0.9996,0.9981,cicids2017,Hybrid MI-RF (15),4,15
0.9984,0.9978,0.9972,0.9978,0.9975,0.9999,0.9997,cicids2017,No FS,5,77
0.9973,0.9955,0.9961,0.9955,0.9958,0.9999,0.9997,cicids2017,MI only (top 30),5,30
0.9956,0.9942,0.992,0.9942,0.9931,0.9997,0.9981,cicids2017,RF only (top 15),5,15
0.9956,0.9941,0.9919,0.9941,0.993,0.9997,0.9981,cicids2017,Hybrid MI-RF (15),5,15
0.998,0.9968,0.9977,0.9968,0.9973,0.9999,1.0,ton_iot,No FS,1,36
0.9981,0.9969,0.9978,0.9969,0.9973,0.9999,1.0,ton_iot,MI only (top 30),1,30
0.9964,0.9939,0.9962,0.9939,0.995,0.9997,0.9999,ton_iot,RF only (top 15),1,15
0.9972,0.9956,0.9968,0.9956,0.9962,0.9998,0.9999,ton_iot,Hybrid MI-RF (15),1,15
0.9975,0.9965,0.9967,0.9965,0.9966,0.9999,1.0,ton_iot,No FS,2,36
0.9975,0.9964,0.9967,0.9964,0.9965,0.9999,1.0,ton_iot,MI only (top 30),2,30
0.9959,0.9937,0.995,0.9937,0.9943,0.9998,0.9999,ton_iot,RF only (top 15),2,15
0.996,0.9937,0.9951,0.9937,0.9944,0.9998,0.9999,ton_iot,Hybrid MI-RF (15),2,15
0.998,0.997,0.9976,0.997,0.9973,0.9999,1.0,ton_iot,No FS,3,36
0.9981,0.997,0.9977,0.997,0.9974,0.9999,1.0,ton_iot,MI only (top 30),3,30
0.9976,0.9965,0.9969,0.9965,0.9967,0.9998,0.9999,ton_iot,RF only (top 15),3,15
0.9976,0.9965,0.9968,0.9965,0.9967,0.9998,0.9999,ton_iot,Hybrid MI-RF (15),3,15
0.9979,0.9968,0.9975,0.9968,0.9971,1.0,1.0,ton_iot,No FS,4,36
0.9978,0.9968,0.9972,0.9968,0.997,1.0,1.0,ton_iot,MI only (top 30),4,30
0.9973,0.9957,0.9968,0.9957,0.9962,0.9999,1.0,ton_iot,RF only (top 15),4,15
0.9963,0.9941,0.9957,0.9941,0.9949,0.9998,0.9999,ton_iot,Hybrid MI-RF (15),4,15
0.9976,0.9965,0.9969,0.9965,0.9967,0.9999,0.9999,ton_iot,No FS,5,36
0.9978,0.9965,0.9973,0.9965,0.9969,0.9999,0.9999,ton_iot,MI only (top 30),5,30
0.9959,0.9931,0.9956,0.9931,0.9944,0.9996,0.9999,ton_iot,RF only (top 15),5,15
0.997,0.9954,0.9964,0.9954,0.9959,0.9998,0.9999,ton_iot,Hybrid MI-RF (15),5,15
0.9928,0.983,0.9843,0.983,0.9836,0.9997,0.9979,unsw_nb15,No FS,1,39
0.9928,0.9834,0.9839,0.9834,0.9836,0.9997,0.9978,unsw_nb15,MI only (top 30),1,30
0.9922,0.9827,0.982,0.9827,0.9823,0.9997,0.9977,unsw_nb15,RF only (top 15),1,15
0.992,0.9818,0.9822,0.9818,0.982,0.9997,0.9977,unsw_nb15,Hybrid MI-RF (15),1,15
0.993,0.9835,0.9851,0.9835,0.9843,0.9997,0.9979,unsw_nb15,No FS,2,39
0.993,0.9837,0.9848,0.9837,0.9842,0.9997,0.9979,unsw_nb15,MI only (top 30),2,30
0.9924,0.9829,0.9829,0.9829,0.9829,0.9997,0.9977,unsw_nb15,RF only (top 15),2,15
0.9923,0.9822,0.983,0.9822,0.9826,0.9996,0.9976,unsw_nb15,Hybrid MI-RF (15),2,15
0.9933,0.9837,0.986,0.9837,0.9848,0.9997,0.998,unsw_nb15,No FS,3,39
0.9933,0.9846,0.9854,0.9846,0.985,0.9997,0.998,unsw_nb15,MI only (top 30),3,30
