accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,roc_auc,pr_auc,dataset,config,fold,n_train,fit_seconds,note
0.9028,0.2017,0.2361,0.2017,0.2151,,,cicids2017,default,1,1600000,232.5,
0.1221,0.4874,0.1849,0.4874,0.1253,,,cicids2017,class_weight,1,1600000,278.6,
0.963,0.5533,0.6152,0.5533,0.5785,,,cicids2017,ova,1,1600000,401.8,
0.9983,0.9003,0.9092,0.9003,0.8905,,,cicids2017,ova+weight,1,1600000,424.6,
0.803,0.0667,0.0535,0.0667,0.0594,,,cicids2017,undersample,1,15,0.1,
0.8378,0.1447,0.1662,0.1447,0.1386,,,cicids2017,tuned,1,1600000,275.5,
0.8069,0.1593,0.1728,0.1593,0.1531,,,cicids2017,default,2,1600000,243.7,
0.5756,0.5224,0.208,0.5224,0.2012,,,cicids2017,class_weight,2,1600000,277.3,
0.994,0.6426,0.6235,0.6426,0.6238,,,cicids2017,ova,2,1600000,423.1,
0.9984,0.8838,0.8676,0.8838,0.8729,,,cicids2017,ova+weight,2,1600000,428.5,
0.803,0.0667,0.0535,0.0667,0.0594,,,cicids2017,undersample,2,15,0.1,
0.2648,0.1341,0.1464,0.1341,0.0655,,,cicids2017,tuned,2,1600000,277.5,
0.8214,0.1309,0.1953,0.1309,0.1072,,,cicids2017,default,3,1600000,226.9,
0.9985,0.7723,0.7779,0.7723,0.7706,,,cicids2017,class_weight,3,1600000,427.7,
0.9941,0.569,0.6437,0.569,0.5935,,,cicids2017,ova,3,1600000,428.6,
0.9983,0.8472,0.838,0.8472,0.8362,,,cicids2017,ova+weight,3,1600000,426.5,
0.803,0.0667,0.0535,0.0667,0.0594,,,cicids2017,undersample,3,15,0.2,
0.8213,0.127,0.1694,0.127,0.1121,,,cicids2017,tuned,3,1600000,283.5,
0.9551,0.3423,0.3004,0.3423,0.3099,,,cicids2017,default,4,1600000,251.9,
0.9985,0.8466,0.8906,0.8466,0.8536,,,cicids2017,class_weight,4,1600000,423.6,
0.9688,0.4957,0.5323,0.4957,0.5106,,,cicids2017,ova,4,1600000,442.8,
0.9985,0.8797,0.8887,0.8797,0.876,,,cicids2017,ova+weight,4,1600000,422.8,
0.803,0.0667,0.0535,0.0667,0.0594,,,cicids2017,undersample,4,15,0.2,
0.868,0.1779,0.2721,0.1779,0.1853,,,cicids2017,tuned,4,1600000,284.5,
0.8295,0.1983,0.2379,0.1983,0.2012,,,cicids2017,default,5,1600000,224.0,
0.5412,0.5433,0.1894,0.5433,0.1933,,,cicids2017,class_weight,5,1600000,333.5,
0.9901,0.5817,0.6178,0.5817,0.5943,,,cicids2017,ova,5,1600000,530.4,
0.9984,0.8961,0.8736,0.8961,0.8812,,,cicids2017,ova+weight,5,1600000,499.6,
0.803,0.0667,0.0535,0.0667,0.0594,,,cicids2017,undersample,5,15,0.2,
0.2812,0.1607,0.1237,0.1607,0.0992,,,cicids2017,tuned,5,1600000,301.4,
0.9981,0.8384,0.7502,0.8384,0.7758,,,cicids2017,smote,1,3372615,683.2,smote k=1; oversampled 14/15 classes to 240901; left at natural frequency (too few samples): 8
0.6544,0.6874,0.2431,0.6874,0.272,,,cicids2017,smote,2,3372615,489.3,smote k=1; oversampled 14/15 classes to 240901; left at natural frequency (too few samples): 8
0.5996,0.5466,0.1961,0.5466,0.2145,,,cicids2017,smote,3,3372615,444.2,smote k=1; oversampled 14/15 classes to 240901; left at natural frequency (too few samples): 8
0.3237,0.4124,0.2019,0.4124,0.1718,,,cicids2017,smote,4,3372615,420.5,smote k=1; oversampled 14/15 classes to 240901; left at natural frequency (too few samples): 8
0.6071,0.4012,0.2154,0.4012,0.2306,,,cicids2017,smote,5,3372615,606.9,smote k=1; oversampled 14/15 classes to 240901; left at natural frequency (too few samples): 8
