accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,dataset,task,model,config,fold,n_train,backend,converged,fit_seconds
0.9973,0.9954,0.9972,0.9954,0.9963,ton_iot,binary,RandomForest,default,1,140695,sklearn,,5.1
0.9971,0.9962,0.9958,0.9962,0.996,ton_iot,binary,RandomForest,balanced_resample,1,140695,sklearn,,6.2
0.911,0.8156,0.9414,0.8156,0.8582,ton_iot,binary,SVM,default,1,50000,sklearn,False,55.0
0.8756,0.7477,0.905,0.7477,0.7908,ton_iot,binary,SVM,balanced_resample,1,50000,sklearn,False,58.2
0.956,0.9157,0.9618,0.9157,0.9361,ton_iot,binary,MLP,default,1,140695,sklearn,True,11.0
0.9137,0.937,0.8666,0.937,0.892,ton_iot,binary,MLP,weighted_loss,1,140695,sklearn,True,6.5
0.9966,0.9939,0.9968,0.9939,0.9953,ton_iot,binary,RandomForest,default,2,140695,sklearn,,3.7
0.9965,0.9948,0.9956,0.9948,0.9952,ton_iot,binary,RandomForest,balanced_resample,2,140695,sklearn,,4.4
0.9112,0.8164,0.9406,0.8164,0.8587,ton_iot,binary,SVM,default,2,50000,sklearn,False,68.4
0.8344,0.7234,0.7843,0.7234,0.7453,ton_iot,binary,SVM,balanced_resample,2,50000,sklearn,False,102.8
0.9557,0.915,0.9616,0.915,0.9356,ton_iot,binary,MLP,default,2,140695,sklearn,True,6.7
0.9129,0.9348,0.8656,0.9348,0.8907,ton_iot,binary,MLP,weighted_loss,2,140695,sklearn,True,6.9
0.997,0.9946,0.9971,0.9946,0.9958,ton_iot,binary,RandomForest,default,3,140696,sklearn,,5.3
0.9968,0.9955,0.9955,0.9955,0.9955,ton_iot,binary,RandomForest,balanced_resample,3,140696,sklearn,,6.1
0.9118,0.8176,0.9411,0.8176,0.8598,ton_iot,binary,SVM,default,3,50000,sklearn,False,93.2
0.8966,0.7918,0.9201,0.7918,0.8335,ton_iot,binary,SVM,balanced_resample,3,50000,sklearn,False,103.8
0.9575,0.9165,0.9655,0.9165,0.9381,ton_iot,binary,MLP,default,3,140696,sklearn,True,15.2
0.9159,0.9372,0.8692,0.9372,0.8942,ton_iot,binary,MLP,weighted_loss,3,140696,sklearn,True,8.4
0.8371,0.8075,0.8348,0.8075,0.7959,ton_iot,multi,RandomForest,default,1,140695,sklearn,,5.2
0.8433,0.8285,0.8317,0.8285,0.7995,ton_iot,multi,RandomForest,balanced_resample,1,140695,sklearn,,6.7
0.6342,0.5735,0.6339,0.5735,0.5149,ton_iot,multi,SVM,default,1,50000,sklearn,True,293.8
0.6282,0.651,0.6612,0.651,0.5369,ton_iot,multi,SVM,balanced_resample,1,50000,sklearn,True,200.8
0.7155,0.6862,0.7434,0.6862,0.6335,ton_iot,multi,MLP,default,1,140695,sklearn,True,12.3
0.7111,0.7088,0.7299,0.7088,0.6087,ton_iot,multi,MLP,weighted_loss,1,140695,sklearn,True,11.9
0.8353,0.8069,0.8358,0.8069,0.7955,ton_iot,multi,RandomForest,default,2,140695,sklearn,,3.9
0.8413,0.8287,0.8262,0.8287,0.7949,ton_iot,multi,RandomForest,balanced_resample,2,140695,sklearn,,5.7
0.6296,0.5698,0.6519,0.5698,0.5074,ton_iot,multi,SVM,default,2,50000,sklearn,True,225.9
0.6265,0.6473,0.6594,0.6473,0.534,ton_iot,multi,SVM,balanced_resample,2,50000,sklearn,True,294.5
0.7158,0.6843,0.7476,0.6843,0.6325,ton_iot,multi,MLP,default,2,140695,sklearn,True,15.2
0.7093,0.7041,0.727,0.7041,0.6043,ton_iot,multi,MLP,weighted_loss,2,140695,sklearn,True,10.5
