accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,dataset,model,config,n_train,fold,backend,converged,fit_seconds
0.9844,0.9796,0.9717,0.9796,0.9756,cicids2017,kNN,k5,50000,1,cuml,,6.5
0.9857,0.9808,0.9744,0.9808,0.9775,cicids2017,kNN,k5,100000,1,cuml,,7.7
0.9865,0.9818,0.9757,0.9818,0.9787,cicids2017,kNN,k5,200000,1,cuml,,15.6
0.8644,0.8022,0.784,0.8022,0.7924,cicids2017,SVM,rbf_maxiter5000,50000,1,cuml,False,2.6
0.873,0.768,0.8086,0.768,0.7855,cicids2017,SVM,rbf_maxiter5000_100k,100000,1,cuml,False,1.4
0.9335,0.8796,0.9052,0.8796,0.8916,cicids2017,SVM,rbf_maxiter50000,50000,1,cuml,True,2.1
0.9367,0.8899,0.9064,0.8899,0.8978,cicids2017,SVM,rbf_maxiter50000_100k,100000,1,cuml,True,4.0
0.8804,0.7608,0.8335,0.7608,0.7888,cicids2017,LinearSVC,linear,50000,1,cuml,True,0.5
0.8889,0.7744,0.8504,0.7744,0.8039,cicids2017,LinearSVC,linear,200000,1,cuml,True,0.2
0.8851,0.768,0.8433,0.768,0.7971,cicids2017,LinearSVC,linear,1333333,1,cuml,True,0.8
0.9767,0.962,0.9642,0.962,0.9631,cicids2017,kNN,k5,50000,2,cuml,,4.0
0.9778,0.9637,0.9661,0.9637,0.9649,cicids2017,kNN,k5,100000,2,cuml,,8.1
0.9787,0.9648,0.9677,0.9648,0.9662,cicids2017,kNN,k5,200000,2,cuml,,16.1
0.8498,0.8141,0.7644,0.8141,0.7838,cicids2017,SVM,rbf_maxiter5000,50000,2,cuml,False,1.4
0.8417,0.7277,0.7507,0.7277,0.738,cicids2017,SVM,rbf_maxiter5000_100k,100000,2,cuml,False,1.7
0.9351,0.8864,0.9046,0.8864,0.8951,cicids2017,SVM,rbf_maxiter50000,50000,2,cuml,True,2.2
0.8831,0.7684,0.8365,0.7684,0.7953,cicids2017,LinearSVC,linear,50000,2,cuml,True,0.1
0.8758,0.7089,0.8737,0.7089,0.753,cicids2017,LinearSVC,linear,200000,2,cuml,True,0.1
