dataset,model,config,n_train,fold,backend,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,converged,fit_seconds
cicids2017,kNN,k5,50000,1,sklearn,0.9913,0.989,0.9837,0.989,0.9863,,29.7
cicids2017,kNN,k5,100000,1,sklearn,0.9943,0.9924,0.9895,0.9924,0.991,,54.9
cicids2017,kNN,k5,200000,1,sklearn,0.996,0.9949,0.9926,0.9949,0.9937,,122.1
cicids2017,LinearSVC,linear,1333333,1,sklearn,0.9232,0.8612,0.8892,0.8612,0.8742,1.0,140.4
cicids2017,SVM,rbf_maxiter5000,50000,1,sklearn,0.9312,0.8867,0.894,0.8867,0.8903,0.0,570.5
cicids2017,SVM,rbf_maxiter50000,50000,1,sklearn,0.9335,0.8796,0.9052,0.8796,0.8916,1.0,491.3
cicids2017,SVM,rbf_maxiter5000_100k,100000,1,sklearn,0.2549,0.4665,0.4533,0.4665,0.2516,0.0,534.8
cicids2017,kNN,k5,50000,2,sklearn,0.9917,0.9891,0.9847,0.9891,0.9869,,30.0
cicids2017,kNN,k5,100000,2,sklearn,0.9942,0.9925,0.9894,0.9925,0.9909,,56.7
cicids2017,kNN,k5,200000,2,sklearn,0.9962,0.9952,0.9927,0.9952,0.994,,124.0
cicids2017,LinearSVC,linear,1333333,2,sklearn,0.9235,0.8613,0.8899,0.8613,0.8746,1.0,115.2
cicids2017,SVM,rbf_maxiter5000,50000,2,sklearn,0.9293,0.8848,0.8902,0.8848,0.8875,0.0,463.5
cicids2017,SVM,rbf_maxiter50000,50000,2,sklearn,0.9351,0.8864,0.9046,0.8864,0.8951,1.0,643.0
cicids2017,kNN,k5,50000,3,sklearn,0.9919,0.9898,0.9848,0.9898,0.9873,,26.7
cicids2017,kNN,k5,100000,3,sklearn,0.9946,0.9928,0.9901,0.9928,0.9914,,52.0
cicids2017,kNN,k5,200000,3,sklearn,0.9961,0.995,0.9927,0.995,0.9939,,103.9
cicids2017,LinearSVC,linear,1333334,3,sklearn,0.9243,0.8615,0.8922,0.8615,0.8757,1.0,123.7
cicids2017,SVM,rbf_maxiter5000,50000,3,sklearn,0.9317,0.8863,0.8954,0.8863,0.8907,0.0,548.8
cicids2017,SVM,rbf_maxiter50000,50000,3,sklearn,0.936,0.8872,0.9066,0.8872,0.8964,1.0,577.8
unsw_nb15,kNN,k5,50000,1,sklearn,0.9884,0.9776,0.9703,0.9776,0.9739,,19.7
unsw_nb15,kNN,k5,100000,1,sklearn,0.9886,0.9764,0.9723,0.9764,0.9743,,47.7
unsw_nb15,kNN,k5,200000,1,sklearn,0.9892,0.9766,0.9747,0.9766,0.9756,,93.6
unsw_nb15,LinearSVC,linear,1333333,1,sklearn,0.9879,0.984,0.963,0.984,0.9732,1.0,11.3
unsw_nb15,SVM,rbf_maxiter5000,50000,1,sklearn,0.9877,0.992,0.9564,0.992,0.9732,1.0,65.9
unsw_nb15,SVM,rbf_maxiter50000,50000,1,sklearn,0.9877,0.992,0.9564,0.992,0.9732,1.0,66.1
unsw_nb15,SVM,rbf_maxiter5000_100k,100000,1,sklearn,0.988,0.9912,0.9582,0.9912,0.9739,1.0,208.0
unsw_nb15,kNN,k5,50000,2,sklearn,0.988,0.9747,0.9711,0.9747,0.9729,,18.8
unsw_nb15,kNN,k5,100000,2,sklearn,0.9885,0.9758,0.9724,0.9758,0.9741,,48.8
unsw_nb15,kNN,k5,200000,2,sklearn,0.9891,0.9764,0.9743,0.9764,0.9753,,96.1
unsw_nb15,LinearSVC,linear,1333333,2,sklearn,0.9878,0.9842,0.9627,0.9842,0.9731,1.0,11.4
unsw_nb15,SVM,rbf_maxiter5000,50000,2,sklearn,0.9876,0.9919,0.9562,0.9919,0.973,1.0,66.4
unsw_nb15,SVM,rbf_maxiter50000,50000,2,sklearn,0.9876,0.9919,0.9562,0.9919,0.973,1.0,66.2
unsw_nb15,kNN,k5,50000,3,sklearn,0.9878,0.973,0.9717,0.973,0.9723,,18.8
unsw_nb15,kNN,k5,100000,3,sklearn,0.9884,0.9747,0.9728,0.9747,0.9738,,47.5
unsw_nb15,kNN,k5,200000,3,sklearn,0.9889,0.9748,0.9751,0.9748,0.9749,,96.7
unsw_nb15,LinearSVC,linear,1333334,3,sklearn,0.9876,0.9835,0.9621,0.9835,0.9725,1.0,11.7
unsw_nb15,SVM,rbf_maxiter5000,50000,3,sklearn,0.9877,0.9902,0.9576,0.9902,0.9731,1.0,73.6
unsw_nb15,SVM,rbf_maxiter50000,50000,3,sklearn,0.9877,0.9902,0.9576,0.9902,0.9731,1.0,73.0
