dataset,task,model,fold,config,hp,epochs,fit_seconds,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,roc_auc,pr_auc
ton_iot,multi,CNN1D,1,tuned,"{""lr"": 0.0001425709156083, ""batch"": 512, ""dropout"": 0.2, ""weight_decay"": 1.4040609919104426e-05, ""width"": 32, ""depth"": 4}",20,61.7,0.7052,0.6987,0.7197,0.6987,0.6022,0.9599,
ton_iot,multi,CNN1D,2,tuned,"{""lr"": 0.0001425709156083, ""batch"": 512, ""dropout"": 0.2, ""weight_decay"": 1.4040609919104426e-05, ""width"": 32, ""depth"": 4}",20,62.6,0.7095,0.7068,0.7169,0.7068,0.6058,0.9583,
ton_iot,multi,CNN1D,3,tuned,"{""lr"": 0.0001425709156083, ""batch"": 512, ""dropout"": 0.2, ""weight_decay"": 1.4040609919104426e-05, ""width"": 32, ""depth"": 4}",20,62.3,0.6984,0.6911,0.7141,0.6911,0.5953,0.9567,
ton_iot,multi,CNN1D,4,tuned,"{""lr"": 0.0001425709156083, ""batch"": 512, ""dropout"": 0.2, ""weight_decay"": 1.4040609919104426e-05, ""width"": 32, ""depth"": 4}",20,62.1,0.6937,0.687,0.6886,0.687,0.5939,0.9583,
ton_iot,multi,CNN1D,5,tuned,"{""lr"": 0.0001425709156083, ""batch"": 512, ""dropout"": 0.2, ""weight_decay"": 1.4040609919104426e-05, ""width"": 32, ""depth"": 4}",20,63.5,0.706,0.6964,0.7197,0.6964,0.6009,0.9585,
ton_iot,multi,BiLSTM,1,tuned,"{""lr"": 0.00438101213592, ""batch"": 512, ""dropout"": 0.1, ""weight_decay"": 8.20051840224583e-06, ""hidden"": 32, ""layers"": 2}",7,18.1,0.0068,0.1008,0.1005,0.1008,0.0025,0.5201,
ton_iot,multi,BiLSTM,2,tuned,"{""lr"": 0.00438101213592, ""batch"": 512, ""dropout"": 0.1, ""weight_decay"": 8.20051840224583e-06, ""hidden"": 32, ""layers"": 2}",20,57.2,0.5483,0.5604,0.5245,0.5604,0.448,0.9304,
ton_iot,multi,BiLSTM,3,tuned,"{""lr"": 0.00438101213592, ""batch"": 512, ""dropout"": 0.1, ""weight_decay"": 8.20051840224583e-06, ""hidden"": 32, ""layers"": 2}",20,53.4,0.6501,0.6739,0.6914,0.6739,0.5566,0.9453,
ton_iot,multi,BiLSTM,4,tuned,"{""lr"": 0.00438101213592, ""batch"": 512, ""dropout"": 0.1, ""weight_decay"": 8.20051840224583e-06, ""hidden"": 32, ""layers"": 2}",20,50.6,0.6469,0.6698,0.6791,0.6698,0.5491,0.9521,
ton_iot,multi,BiLSTM,5,tuned,"{""lr"": 0.00438101213592, ""batch"": 512, ""dropout"": 0.1, ""weight_decay"": 8.20051840224583e-06, ""hidden"": 32, ""layers"": 2}",7,17.7,0.0963,0.1006,0.1095,0.1006,0.0186,0.5011,
