dataset,task,model,trial,lr,batch,dropout,weight_decay,width,depth,f1_macro,balanced_accuracy,epochs,seconds,hidden,layers
ton_iot,multi,CNN1D,0,0.0004332296801195,256,0.2,0.0002183096839052,32.0,4.0,0.5899,0.6988,9,36.8,,
ton_iot,multi,CNN1D,1,0.0005726848309584,1024,0.2,2.386418878005603e-05,32.0,4.0,0.5488,0.6637,9,14.7,,
ton_iot,multi,CNN1D,2,0.0001083911041389,512,0.3,0.0006541210527692,64.0,2.0,0.5344,0.6442,25,34.9,,
ton_iot,multi,CNN1D,3,0.0011212915939563,512,0.5,1.9762189340280072e-05,32.0,4.0,0.5996,0.7089,19,42.8,,
ton_iot,multi,CNN1D,4,0.0010968567722519,512,0.3,0.000834193029414,128.0,3.0,0.4275,0.544,6,19.1,,
ton_iot,multi,CNN1D,5,0.0001425709156083,512,0.2,1.4040609919104426e-05,32.0,4.0,0.6056,0.7075,25,66.4,,
ton_iot,multi,CNN1D,6,0.0028966677986872,1024,0.5,2.2464551680532603e-05,64.0,2.0,0.4426,0.577,11,9.0,,
ton_iot,multi,CNN1D,7,0.00438101213592,512,0.1,8.20051840224583e-06,32.0,3.0,0.5312,0.6489,11,19.0,,
ton_iot,multi,CNN1D,8,0.001456116573627,1024,0.3,2.32335035153901e-06,32.0,4.0,0.5663,0.6676,10,14.8,,
ton_iot,multi,CNN1D,9,0.0001971151073915,256,0.3,3.521342459487091e-06,64.0,3.0,0.581,0.6897,12,43.0,,
ton_iot,multi,CNN1D,10,0.0007658004831331,512,0.3,3.5856126103453987e-06,128.0,3.0,0.5479,0.6582,11,36.1,,
ton_iot,multi,CNN1D,11,0.0020783840444891,512,0.1,0.0004835952776465,64.0,4.0,0.4957,0.5928,9,32.7,,
ton_iot,multi,CNN1D,12,0.0036913582804762,2048,0.3,1.3667272915456224e-06,32.0,2.0,0.2404,0.3757,7,3.9,,
ton_iot,multi,CNN1D,13,0.0002892633116977,256,0.1,0.0007866216981266,32.0,2.0,0.535,0.6501,25,91.4,,
ton_iot,multi,CNN1D,14,0.0003189076664588,256,0.0,1.1140616389973703e-06,32.0,2.0,0.5413,0.6555,25,97.5,,
ton_iot,multi,CNN1D,15,0.000217679062626,2048,0.2,3.949364447222329e-06,128.0,4.0,0.5195,0.6296,7,107.0,,
ton_iot,multi,CNN1D,16,0.0020471967780231,256,0.1,1.1895896737553554e-05,32.0,4.0,0.3473,0.432,7,34.6,,
ton_iot,multi,CNN1D,17,0.002786541928918,2048,0.1,1.9329933033819648e-06,128.0,4.0,0.4714,0.5942,6,64.4,,
ton_iot,multi,CNN1D,18,0.0013709768754863,256,0.2,5.941462537454564e-05,64.0,4.0,0.4832,0.598,13,66.4,,
ton_iot,multi,CNN1D,19,0.0008997333611268,1024,0.5,0.0008225007188121,128.0,2.0,0.5414,0.6532,25,41.4,,
ton_iot,multi,BiLSTM,0,0.0004332296801195,256,0.2,0.0002183096839052,,,0.4895,0.5725,25,175.4,32.0,3.0
ton_iot,multi,BiLSTM,1,0.0005726848309584,1024,0.2,2.386418878005603e-05,,,0.3357,0.4932,25,43.2,32.0,3.0
ton_iot,multi,BiLSTM,2,0.0001083911041389,512,0.3,0.0006541210527692,,,0.118,0.2345,25,50.3,64.0,1.0
ton_iot,multi,BiLSTM,3,0.0011212915939563,512,0.5,1.9762189340280072e-05,,,0.4553,0.5803,25,83.1,32.0,3.0
ton_iot,multi,BiLSTM,4,0.0010968567722519,512,0.3,0.000834193029414,,,0.5199,0.6552,25,112.8,128.0,2.0
ton_iot,multi,BiLSTM,5,0.0001425709156083,512,0.2,1.4040609919104426e-05,,,0.0173,0.1,8,24.5,32.0,3.0
ton_iot,multi,BiLSTM,6,0.0028966677986872,1024,0.5,2.2464551680532603e-05,,,0.0188,0.1007,16,16.8,64.0,1.0
ton_iot,multi,BiLSTM,7,0.00438101213592,512,0.1,8.20051840224583e-06,,,0.566,0.6816,25,60.0,32.0,2.0
ton_iot,multi,BiLSTM,8,0.001456116573627,1024,0.3,2.32335035153901e-06,,,0.0802,0.1515,14,24.5,32.0,3.0
ton_iot,multi,BiLSTM,9,0.0001971151073915,256,0.3,3.521342459487091e-06,,,0.1481,0.25,25,113.4,64.0,2.0
ton_iot,multi,BiLSTM,10,0.0007658004831331,512,0.3,3.5856126103453987e-06,,,0.5542,0.6745,25,90.5,128.0,2.0
ton_iot,multi,BiLSTM,11,0.0020783840444891,512,0.1,0.0004835952776465,,,0.5609,0.6788,25,83.8,64.0,3.0
ton_iot,multi,BiLSTM,12,0.0036913582804762,2048,0.3,1.3667272915456224e-06,,,0.2923,0.4518,9,5.4,32.0,1.0
ton_iot,multi,BiLSTM,13,0.0002892633116977,256,0.1,0.0007866216981266,,,0.4076,0.5532,25,101.4,32.0,1.0
ton_iot,multi,BiLSTM,14,0.0003189076664588,256,0.0,1.1140616389973703e-06,,,0.4862,0.606,25,85.0,32.0,1.0
ton_iot,multi,BiLSTM,15,0.000217679062626,2048,0.2,3.949364447222329e-06,,,0.025,0.1793,12,981.4,128.0,3.0
ton_iot,multi,BiLSTM,16,0.0020471967780231,256,0.1,1.1895896737553554e-05,,,0.5587,0.6774,20,146.0,32.0,3.0
