dataset,task,model,fold,epochs,fit_seconds,accuracy,balanced_accuracy,precision_macro,recall_macro,f1_macro,roc_auc,pr_auc
ton_iot,binary,FTTransformer,1,20,111.9,0.9161,0.9369,0.8695,0.9369,0.8944,0.9801,0.9937
ton_iot,binary,FTTransformer,2,14,77.9,0.9152,0.9371,0.8683,0.9371,0.8934,0.9804,0.9937
ton_iot,binary,FTTransformer,3,15,83.5,0.8125,0.8692,0.7752,0.8692,0.7864,0.9322,0.9791
ton_iot,binary,FTTransformer,4,17,94.6,0.9158,0.9368,0.8691,0.9368,0.8941,0.982,0.9939
ton_iot,binary,FTTransformer,5,11,61.4,0.9177,0.9374,0.8715,0.9374,0.8962,0.9814,0.9937
ton_iot,multi,FTTransformer,1,20,111.3,0.6613,0.682,0.6987,0.682,0.575,0.9555,
ton_iot,multi,FTTransformer,2,20,111.6,0.664,0.6886,0.7042,0.6886,0.5778,0.9523,
ton_iot,multi,FTTransformer,3,14,78.4,0.6996,0.6949,0.7122,0.6949,0.5937,0.952,
ton_iot,multi,FTTransformer,4,18,100.7,0.6581,0.6778,0.687,0.6778,0.5696,0.9513,
ton_iot,multi,FTTransformer,5,7,39.5,0.6309,0.6493,0.6178,0.6493,0.5434,0.9389,
unsw_nb15,binary,FTTransformer,1,20,1118.4,0.988,0.9931,0.9568,0.9931,0.974,0.9996,0.9974
unsw_nb15,binary,FTTransformer,2,20,1038.3,0.9879,0.9931,0.9565,0.9931,0.9738,0.9996,0.9974
unsw_nb15,binary,FTTransformer,3,20,1245.5,0.9879,0.993,0.9562,0.993,0.9736,0.9996,0.9974
unsw_nb15,binary,FTTransformer,4,20,1104.0,0.9878,0.993,0.956,0.993,0.9734,0.9996,0.9974
unsw_nb15,binary,FTTransformer,5,20,1010.3,0.9883,0.9931,0.9577,0.9931,0.9744,0.9996,0.9976
unsw_nb15,multi,FTTransformer,1,20,1236.0,0.9694,0.6983,0.481,0.6983,0.5108,0.9961,
unsw_nb15,multi,FTTransformer,2,20,1034.9,0.9675,0.6567,0.4632,0.6567,0.4898,0.9956,
unsw_nb15,multi,FTTransformer,3,20,1264.7,0.968,0.6663,0.4669,0.6663,0.4818,0.9959,
unsw_nb15,multi,FTTransformer,4,20,1043.2,0.9677,0.6558,0.464,0.6558,0.4917,0.9957,
unsw_nb15,multi,FTTransformer,5,20,1043.2,0.9673,0.6822,0.464,0.6822,0.489,0.9959,
cicids2017,binary,FTTransformer,1,20,2717.2,0.9752,0.9836,0.9446,0.9836,0.9625,0.9986,0.9942
cicids2017,binary,FTTransformer,2,20,2448.6,0.9749,0.9821,0.9447,0.9821,0.9619,0.9982,0.9926
cicids2017,binary,FTTransformer,3,20,2241.6,0.9755,0.9837,0.9453,0.9837,0.9629,0.9985,0.9939
cicids2017,binary,FTTransformer,4,20,2284.5,0.9709,0.9754,0.9393,0.9754,0.9559,0.9966,0.9863
cicids2017,binary,FTTransformer,5,20,2270.1,0.9811,0.9855,0.958,0.9855,0.971,0.9989,0.9954
cicids2017,multi,FTTransformer,1,20,2216.8,0.831,0.8674,0.3526,0.8674,0.4082,0.995,
cicids2017,multi,FTTransformer,2,20,2057.6,0.8585,0.8542,0.3393,0.8542,0.4052,0.9947,
cicids2017,multi,FTTransformer,3,19,2300.4,0.7867,0.8266,0.3142,0.8266,0.3691,0.9887,
cicids2017,multi,FTTransformer,4,9,1146.4,0.7566,0.7814,0.2817,0.7814,0.3368,0.9736,
cicids2017,multi,FTTransformer,5,14,1709.0,0.7852,0.7882,0.2826,0.7882,0.3412,0.9731,
