dataset,task,model,batch_us_per_sample,single_ms_median,n_features,device
cicids2017,binary,kNN,1582.3,68.657,77,cpu
cicids2017,binary,LightGBM,3.61,1.721,77,cpu
cicids2017,binary,MLP,5.44,0.112,77,cpu
cicids2017,binary,RandomForest,6.19,32.707,77,cpu
cicids2017,binary,SVM,1132.27,1.744,77,cpu
cicids2017,binary,XGBoost,1.55,0.612,77,cpu
cicids2017,multi,kNN,1805.69,84.71,77,cpu
cicids2017,multi,LightGBM,20.28,2.815,77,cpu
cicids2017,multi,MLP,5.04,0.222,77,cpu
cicids2017,multi,RandomForest,19.2,43.2,77,cpu
cicids2017,multi,SVM,1529.3,1.101,77,cpu
cicids2017,multi,XGBoost,17.7,7.597,77,cpu
ton_iot,binary,kNN,5617.39,50.723,36,cpu
ton_iot,binary,LightGBM,3.69,1.805,36,cpu
ton_iot,binary,MLP,6.82,0.171,36,cpu
ton_iot,binary,RandomForest,9.67,250.193,36,cpu
ton_iot,binary,SVM,4952.76,1.231,36,cpu
ton_iot,binary,XGBoost,1.53,0.852,36,cpu
ton_iot,multi,kNN,5774.29,51.833,36,cpu
ton_iot,multi,LightGBM,46.21,5.988,36,cpu
ton_iot,multi,MLP,4.55,0.24,36,cpu
ton_iot,multi,RandomForest,14.8,57.551,36,cpu
ton_iot,multi,SVM,19663.19,7.268,36,cpu
ton_iot,multi,XGBoost,10.38,5.68,36,cpu
unsw_nb15,binary,kNN,61.62,10.15,47,cpu
unsw_nb15,binary,LightGBM,6.6,2.023,47,cpu
unsw_nb15,binary,MLP,17.38,0.278,47,cpu
unsw_nb15,binary,RandomForest,108.55,63.909,47,cpu
unsw_nb15,binary,SVM,234.05,0.308,47,cpu
unsw_nb15,binary,XGBoost,2.51,4.446,47,cpu
unsw_nb15,multi,kNN,416.79,9.085,47,cpu
unsw_nb15,multi,LightGBM,41.71,5.586,47,cpu
unsw_nb15,multi,MLP,13.14,0.277,47,cpu
unsw_nb15,multi,RandomForest,15.99,70.908,47,cpu
unsw_nb15,multi,SVM,385.33,0.519,47,cpu
unsw_nb15,multi,XGBoost,11.35,107.012,47,cpu
cicids2017,binary,BiLSTM,258.51,4.297,77,cpu
cicids2017,binary,CNN1D,47.93,0.778,77,cpu
cicids2017,multi,BiLSTM,174.52,3.745,77,cpu
cicids2017,multi,CNN1D,73.41,1.788,77,cpu
ton_iot,binary,BiLSTM,104.96,4.304,36,cpu
ton_iot,binary,CNN1D,23.45,1.174,36,cpu
ton_iot,multi,BiLSTM,86.64,2.465,36,cpu
ton_iot,multi,CNN1D,24.19,0.946,36,cpu
unsw_nb15,binary,BiLSTM,119.22,3.19,39,cpu
unsw_nb15,binary,CNN1D,35.96,0.667,39,cpu
unsw_nb15,multi,BiLSTM,155.93,3.548,39,cpu
unsw_nb15,multi,CNN1D,20.03,0.825,39,cpu
