dataset,fold,attack_class,n_class_total,outcome,n_samples,top_features
ton_iot,1,mitm,1043,correct,169,dns_ra=1.4654; dst_bytes=0.9612; service=0.6900; src_bytes=0.6434; dst_pkts=0.6388
ton_iot,1,mitm,1043,misclassified,31,dns_ra=0.7850; dst_pkts=0.6580; duration=0.6393; service=0.5540; src_pkts=0.5309
ton_iot,1,backdoor,20000,correct,165,conn_state=1.3951; duration=1.0030; src_pkts=0.1762; dst_pkts=0.0758; service=0.0423
ton_iot,1,backdoor,20000,misclassified,35,conn_state=1.0992; duration=0.5031; src_pkts=0.1926; dst_pkts=0.0688; service=0.0295
ton_iot,1,dos,20000,correct,148,conn_state=1.3833; src_pkts=0.6850; duration=0.5505; dst_pkts=0.2042; dns_ra=0.1842
ton_iot,1,dos,20000,misclassified,52,conn_state=1.3095; duration=0.3218; src_pkts=0.1836; dns_query=0.0889; dst_pkts=0.0874
ton_iot,1,ddos,20000,correct,196,conn_state=2.4235; duration=0.6085; dns_rcode=0.5923; src_pkts=0.4855; dns_query=0.4718
ton_iot,1,ddos,20000,misclassified,4,duration=0.6441; src_pkts=0.4621; conn_state=0.4245; dst_pkts=0.3416; dst_bytes=0.2100
ton_iot,1,injection,20000,correct,195,src_bytes=2.9172; dst_bytes=1.8765; duration=0.7497; conn_state=0.6944; dst_pkts=0.3060
ton_iot,1,injection,20000,misclassified,5,src_bytes=0.8603; duration=0.5641; dst_pkts=0.5230; conn_state=0.4292; src_pkts=0.3009
ton_iot,2,mitm,1043,correct,163,dns_ra=1.5861; dst_bytes=0.9420; dst_pkts=0.7959; src_pkts=0.7253; service=0.7242
ton_iot,2,mitm,1043,misclassified,37,dns_ra=0.8396; src_pkts=0.5965; dst_pkts=0.5561; src_bytes=0.5430; dst_bytes=0.5421
ton_iot,2,backdoor,20000,correct,159,conn_state=1.3676; duration=1.0249; src_pkts=0.1816; dst_pkts=0.0882; service=0.0744
ton_iot,2,backdoor,20000,misclassified,41,conn_state=1.0933; duration=0.4206; src_pkts=0.1783; dst_pkts=0.0684; service=0.0291
ton_iot,2,dos,20000,correct,143,conn_state=1.4113; src_pkts=0.7758; duration=0.4900; dst_pkts=0.2643; dns_ra=0.1435
ton_iot,2,dos,20000,misclassified,57,conn_state=1.2565; duration=0.2428; src_pkts=0.1517; dns_query=0.0934; src_bytes=0.0774
ton_iot,2,ddos,20000,correct,195,conn_state=2.4326; duration=0.7339; src_pkts=0.4899; dns_rcode=0.4572; dns_rejected=0.3939
ton_iot,2,ddos,20000,misclassified,5,dns_query=0.3808; dns_rejected=0.2837; dst_pkts=0.2835; dns_rd=0.2536; dns_rcode=0.2149
ton_iot,2,injection,20000,correct,193,src_bytes=3.0282; dst_bytes=1.9464; conn_state=0.6414; duration=0.6143; dst_pkts=0.2800
ton_iot,2,injection,20000,misclassified,7,src_bytes=1.2280; conn_state=1.0674; dst_bytes=0.6680; duration=0.6057; src_pkts=0.3666
ton_iot,3,mitm,1043,correct,164,dns_ra=1.3737; dst_bytes=0.9674; src_bytes=0.7567; src_pkts=0.7032; service=0.6850
ton_iot,3,mitm,1043,misclassified,36,dns_ra=1.0552; dst_bytes=0.6713; dst_pkts=0.5308; src_pkts=0.4930; duration=0.4852
ton_iot,3,backdoor,20000,correct,164,conn_state=1.4030; duration=1.0027; src_pkts=0.1783; dst_pkts=0.0701; service=0.0243
ton_iot,3,backdoor,20000,misclassified,36,conn_state=1.0998; duration=0.4549; src_pkts=0.1837; dst_pkts=0.0652; service=0.0250
ton_iot,3,dos,20000,correct,144,conn_state=1.4206; src_pkts=0.6231; duration=0.5553; dst_pkts=0.2212; dns_ra=0.1495
ton_iot,3,dos,20000,misclassified,56,conn_state=1.2628; duration=0.3169; src_pkts=0.1502; src_bytes=0.0627; dns_ra=0.0500
ton_iot,3,ddos,20000,correct,190,conn_state=2.4711; duration=0.6399; dns_rcode=0.5996; src_pkts=0.4983; dns_rejected=0.4614
ton_iot,3,ddos,20000,misclassified,10,conn_state=0.5390; src_pkts=0.4024; dst_pkts=0.3513; dns_rejected=0.3209; dns_rd=0.3138
ton_iot,3,injection,20000,correct,193,src_bytes=2.9667; dst_bytes=2.0062; duration=0.7074; conn_state=0.6778; src_pkts=0.2793
ton_iot,3,injection,20000,misclassified,7,conn_state=1.0693; src_bytes=0.8404; duration=0.3959; src_pkts=0.3730; dst_pkts=0.3130
ton_iot,4,mitm,1043,correct,169,dns_ra=1.3442; dst_bytes=1.0161; service=0.7426; src_bytes=0.7088; src_pkts=0.5926
ton_iot,4,mitm,1043,misclassified,31,dns_ra=0.9933; dst_bytes=0.6844; proto=0.6779; duration=0.5272; src_bytes=0.5172
ton_iot,4,backdoor,20000,correct,163,conn_state=1.3387; duration=1.0020; src_pkts=0.1818; service=0.0965; dst_pkts=0.0949
ton_iot,4,backdoor,20000,misclassified,37,conn_state=1.0619; duration=0.4865; src_pkts=0.1856; dst_pkts=0.0661; service=0.0298
ton_iot,4,dos,20000,correct,137,conn_state=1.4193; src_pkts=0.6950; duration=0.5106; dst_pkts=0.2136; dns_ra=0.1361
ton_iot,4,dos,20000,misclassified,63,conn_state=1.2732; duration=0.2475; src_pkts=0.1803; src_bytes=0.0786; dst_pkts=0.0710
ton_iot,4,ddos,20000,correct,197,conn_state=2.3922; duration=0.6915; dns_rcode=0.5643; dns_rejected=0.4957; dns_query=0.4795
ton_iot,4,ddos,20000,misclassified,3,duration=0.5532; conn_state=0.5011; dst_pkts=0.3596; dns_rd=0.2114; src_pkts=0.2102
ton_iot,4,injection,20000,correct,196,src_bytes=2.9351; dst_bytes=1.9603; conn_state=0.6864; duration=0.6468; src_pkts=0.2680
ton_iot,4,injection,20000,misclassified,4,conn_state=1.3191; src_bytes=1.0420; duration=0.7797; src_pkts=0.5890; dst_pkts=0.2371
ton_iot,5,mitm,1043,correct,174,dns_ra=1.5498; dst_bytes=0.8842; src_bytes=0.7720; src_pkts=0.6998; service=0.6283
ton_iot,5,mitm,1043,misclassified,26,dns_ra=0.9645; duration=0.8132; dst_bytes=0.6928; src_bytes=0.5622; dst_pkts=0.3987
ton_iot,5,backdoor,20000,correct,166,conn_state=1.3831; duration=0.9317; src_pkts=0.1736; dst_pkts=0.0779; service=0.0615
ton_iot,5,backdoor,20000,misclassified,34,conn_state=1.0867; duration=0.5540; src_pkts=0.1825; dst_pkts=0.0686; service=0.0300
ton_iot,5,dos,20000,correct,147,conn_state=1.4372; src_pkts=0.7555; duration=0.5263; dst_pkts=0.2676; dns_ra=0.1757
ton_iot,5,dos,20000,misclassified,53,conn_state=1.2892; duration=0.2189; src_pkts=0.1501; src_bytes=0.0702; dns_query=0.0545
ton_iot,5,ddos,20000,correct,193,conn_state=2.4183; duration=0.7553; src_pkts=0.5211; dns_rcode=0.5063; dns_query=0.3969
ton_iot,5,ddos,20000,misclassified,7,dst_pkts=0.5217; dns_rd=0.2827; duration=0.2650; src_pkts=0.2619; dns_query=0.2490
