,BENIGN,Bot,DDoS,DoS GoldenEye,DoS Hulk,DoS Slowhttptest,DoS slowloris,FTP-Patator,Heartbleed,Infiltration,PortScan,SSH-Patator,Web Attack - Brute Force,Web Attack - SQL Injection,Web Attack - XSS
flow_duration,0.05153447762131691,0.3092095375061035,0.14479967653751374,0.14342311918735504,0.11978923082351685,0.49930644035339355,0.4446683004498482,0.25989341735839844,0.15283460170030594,0.2901983916759491,0.25699862241745,0.17514787912368773,0.10476600229740143,0.24888370037078858,0.08777643293142319
total_fwd_packets,0.03780529871582985,0.005780170112848282,0.08935877531766892,0.0304727703332901,0.37557133436203005,0.03718546777963638,0.0480905931442976,0.012545558344572782,0.9721058487892151,0.02332975943572819,0.11080904603004456,0.12496792823076248,0.09877359978854656,0.0006348106078803539,0.011248356103897095
total_backward_packets,0.08621141910552979,0.04635535031557083,0.41346660256385803,0.05924683883786201,0.20836774110794068,0.1196999043226242,0.040739606320858004,1.8790374755859376,0.9505239248275756,0.2497202441096306,0.028739694878458975,0.0921751044690609,0.017986535746604203,0.059246450662612915,0.007885756716132165
total_length_of_fwd_packets,0.15928771942853928,0.033505840413272384,0.47855578660964965,0.04020376345142722,0.01831647753715515,0.06760590597987175,0.05008203238248825,0.29897509813308715,0.7184935808181763,0.45978863835334777,1.025800359249115,0.03446007836610079,0.01940438449382782,0.009684550762176513,0.01360644930973649
total_length_of_bwd_packets,0.2100246876478195,0.23241057097911835,0.7564504384994507,0.28813896924257276,0.23300063610076904,0.030470648035407066,0.09108809605240822,0.27192448675632475,0.11341970860958099,0.10750546976923943,0.003685253346338868,2.231879949569702,0.022860342264175416,0.03431487511843443,0.015546125918626785
fwd_packet_length_max,0.37495664358139036,0.027954971045255662,1.1787060499191284,0.05481065697968006,0.03415085636079311,0.13791283071041108,0.5662519097328186,0.07602817416191102,0.5460501909255981,0.6624697327613831,0.04597453270107508,0.6185591399669648,0.07801281362771988,0.3077145993709564,0.022173338942229746
fwd_packet_length_min,0.011625172384083272,0.00036593418335542085,0.01981683112680912,0.027668318152427672,0.11884561777114869,0.3746384620666504,0.0891138643026352,0.006140430364757777,0.0,0.04719743728637695,0.0109705850481987,0.04053456000983715,0.0008518366263160715,0.005897799879312516,0.0
fwd_packet_length_mean,0.08712637424468994,0.02137570045888424,0.5296615064144135,0.04361070953309536,0.049391564726829526,0.9452112674713135,0.16978835165500641,0.010656558815389872,0.05883763134479523,0.70797780752182,0.144127057492733,0.09497797079384326,0.04488336853682995,0.11693594455718995,0.018687515147030355
fwd_packet_length_std,0.03041953593492508,0.07145136222243309,0.07360582947731018,0.09221537709236145,0.04717036858201027,0.30776600241661073,0.12305261790752411,0.1401490017771721,0.006376342568546534,0.7102787315845489,0.0006615896214498207,0.2158936083316803,0.048672832921147345,0.7334422469139099,0.013333742506802082
bwd_packet_length_max,0.014825869724154473,1.1360710382461547,0.00581620535813272,0.03399257780984044,0.026850789599120618,0.5321550309658051,0.10707599520683289,0.015706777479499577,0.3639340728521347,0.05829754592850804,0.00019501805145409888,0.09661322087049484,0.011344705335795879,0.07830833420157432,0.012065562163479626
bwd_packet_length_min,0.1329813063144684,0.16038293540477752,0.004992883652448654,0.0016207273118197918,0.017038059420883656,0.02076545264571905,0.05439273416996002,0.01155749000608921,0.0,0.02565527129918337,0.008253697073087096,0.16799723207950593,0.0023012406891211867,0.0,3.43712861649692e-05
bwd_packet_length_mean,0.14602340757846832,0.14981599897146225,0.7999540567398071,0.1904187560081482,0.2140115827322006,0.03394702635705471,0.9498313665390015,0.0029496756847947835,0.6774077594280243,1.124136570096016,0.0011116916546598076,0.04209171393886209,0.03094121478497982,0.16625018566846847,0.028929460048675536
bwd_packet_length_std,0.27527775764465334,0.12290458679199219,0.02171180583536625,0.508468621969223,0.4082711398601532,0.07943665087223054,0.025317101925611495,0.00865810478644562,0.2943680055439472,0.03131837071850896,0.0008320587978232652,0.02826116429641843,0.06004617512226105,0.1632286138832569,0.0030109072104096413
flow_bytes/s,0.041314078867435454,0.798986554145813,0.08868352621793747,0.026267919316887857,0.04561225697398186,0.023726776242256165,0.10734809041023255,0.3447555512189865,0.14090545773506163,0.2423143655061722,0.3265181422233582,0.1262065589427948,0.08256685733795166,0.6512591004371643,0.008231420954689383
flow_packets/s,0.011894926987588405,0.08377776369452476,0.02102962527424097,0.8023239374160767,0.11696775704622268,0.0303934745490551,0.03751030340790749,0.11031645238399505,0.0,0.012573496298864483,0.06376021951436997,0.11077023148536683,0.031455294042825696,0.12861642241477966,0.019632821064442398
