,backdoor,ddos,dos,injection,mitm,normal,password,ransomware,scanning,xss
proto,0.001223402062896639,0.05529546663165093,0.0019165276316925883,0.014269333705306054,0.2536398023366928,2.4167431831359862,0.016410209238529205,0.08541224300861358,0.1841824859380722,0.16092418432235717
service,0.05398619771003723,0.14195574522018434,0.01808562483638525,0.03690857589244843,0.649254846572876,0.06323908194899559,3.198072814941406,0.05760139897465706,0.028354298695921897,0.07042586803436279
duration,0.898967707157135,0.6750774145126343,0.4543408274650574,0.6882122755050659,0.5119451522827149,0.6734906196594238,0.6372363448143006,1.1080436944961547,1.5643826961517333,0.5861112117767334
src_bytes,0.03023699764162302,0.22082418203353882,0.1141336590051651,2.9227685928344727,0.6636995911598206,0.2649650156497955,0.9101169228553772,0.0057560278102755545,0.025250713154673577,1.0048071026802063
dst_bytes,0.020199742168188095,0.2839295595884323,0.06963203325867653,1.8743505001068115,0.8989034175872803,0.12960983216762542,0.38453695774078367,0.00123292418429628,0.025680919736623765,0.31414994597435
conn_state,1.3246641635894776,2.3674413681030275,1.3757980585098266,0.6735448002815246,0.12232637107372284,0.39302206635475156,0.39745902419090273,1.9142784833908082,1.0649064898490905,1.476210856437683
missed_bytes,0.001183479669271037,0.011740205623209477,0.00032713383552618325,0.014225737750530243,0.04665062613785267,0.002610138867748901,0.0021628985879942773,0.0,0.00042729668202809987,0.0027821271447464823
src_pkts,0.17937639951705933,0.48811801671981814,0.5542404174804687,0.2663076251745224,0.6291695356369018,2.1335431575775146,0.20730431377887726,0.6692355632781982,0.16493867039680482,0.1920347899198532
dst_pkts,0.07876686453819275,0.3002443552017212,0.18599013090133668,0.28998062014579773,0.6204123675823212,0.8605355739593505,0.17411893606185913,0.47505177855491637,0.0735599383711815,0.12194580882787705
dns_query,8.638939470984042e-05,0.42210111021995544,0.08444714397192002,0.04550705030560494,0.48897490501403806,0.5764217495918273,0.02178327478468418,0.0,0.09202384650707245,0.16639454513788224
dns_qclass,6.237139659788226e-05,0.006407684786245227,0.000253770656127017,0.004676637658849359,0.013485569879412651,0.07965335473418236,0.00030596191754739266,0.0,0.0007351869920967147,0.00785498060286045
dns_qtype,4.183959754300304e-06,0.044248265027999875,0.0010848658392205834,0.022380424290895463,0.027199944481253624,0.3377424359321594,0.001916656200774014,0.0,0.000830329704331234,0.0023404343519359827
dns_rcode,1.990520722756628e-05,0.5338180065155029,0.0007960253162309528,0.004216632689349353,0.008834422659128904,0.020703304186463357,0.00022413839178625494,0.0,0.0009437045839149505,0.0026278070174157618
dns_aa,6.731922439939808e-05,0.003892769484082237,0.007042714953422546,0.0034252964775077998,0.008084638230502605,0.0368751160800457,0.0014952537138015031,0.01923579126596451,0.004562444193288684,0.0024735920131206514
dns_rd,3.0459831145890347e-05,0.22742170393466948,0.01104962658137083,0.0006775977555662394,0.03751699328422546,0.13666978627443313,0.00503849764354527,0.006319165835157037,0.003520273184403777,0.0027525290381163357
dns_ra,3.2244111025647726e-06,0.010732315853238106,0.12654098570346833,0.012721784505993127,1.3775694847106934,0.1171944111585617,0.04802062660455704,0.0010768148116767407,0.007166596502065659,0.04219006523489952
dns_rejected,0.0,0.4322275698184967,0.00324430491309613,0.0015950750559568406,0.00541491867043078,0.12085982114076614,0.0003709765413077548,0.0,0.02686476968228817,0.006850456120446324
ssl_version,0.0,0.0004047049907967448,0.0001627017292776145,0.00016320821523549967,0.015715109743177892,0.03784102611243725,0.00030751207668799907,0.0,6.545727374032139e-05,0.0005299103795550764
ssl_cipher,0.0,0.00016275441776087974,8.07689837529324e-05,0.0002572481142124161,0.004842918831855059,0.005689578643068671,2.0583723335221292e-05,0.0,2.0528307322820184e-05,4.994494229322299e-05
ssl_resumed,0.0,4.0276351137435994e-05,1.53290373418713e-05,0.0,0.00014882052200846375,0.0019825375406071545,4.430062381288735e-06,0.0,0.0,2.5044037465704604e-05
ssl_established,0.0,0.0,0.0,0.0,0.0,0.00018576271104393528,0.0,0.0,0.0,0.0
ssl_subject,0.0,0.0,0.0,0.0,0.0,8.58411067383713e-07,0.0,0.0,0.0,0.0
