,Analysis,Backdoor,DoS,Exploits,Fuzzers,Generic,Normal,Reconnaissance,Shellcode,Worms
proto,1.0537692189216614,1.066653800010681,1.059526300430298,0.45418620109558105,0.1243025541305542,0.01966336965560913,0.07562745884060859,0.07674918845295906,0.3511460065841675,0.010578323900699616
state,0.0014131632924545556,0.003331691538915038,0.0025313980877399445,0.0013658368843607605,0.002377408160828054,0.005902726994827389,0.0342800859361887,0.004209244064986706,5.0257606199011205e-05,0.0006266683340072632
dur,0.03145470023155213,0.03683236315846443,0.020772085711359977,0.022952987253665923,0.03826512843370437,0.05500638633966446,0.03214568644762039,0.043943609297275546,0.058745100349187854,0.16253818869590758
sbytes,0.07261722087860108,0.23453713655471803,0.21879046857357026,0.20603753626346588,0.2435145914554596,5.017679119110108,0.10474864095449447,1.922347903251648,0.6914734065532684,0.9170997500419616
dbytes,0.08676320612430573,0.055836085230112076,0.08139825910329819,0.11608695834875107,0.12924809604883195,0.02344154827296734,0.2150887668132782,0.18183343708515168,0.17457797080278398,0.2665772557258606
sttl,0.6039769232273102,0.6228307604789733,0.9756469249725341,0.9739524960517884,1.1693193912506104,0.29296321272850034,4.7035552024841305,1.5960200071334838,1.125540816783905,0.715342891216278
dttl,0.021354642510414124,0.04088226333260536,0.06908289939165116,0.7384693026542664,0.10199257731437683,0.02417358160018921,0.07961514443159104,0.786267077922821,0.39997191429138185,1.1634081244468688
sloss,0.014795184880495072,0.07135777100920677,0.027400488778948785,0.07626294121146202,0.13556820303201675,0.04230043962597847,0.03391291424632072,0.02270902246236801,0.010668309684842826,0.21458686143159866
dloss,0.003141352685634047,0.04509662352502346,0.018883131071925165,0.17313868105411528,0.07966447472572327,0.09267078638076783,0.046914204210042956,0.002442526794038713,0.027903923764824867,0.04514043815433979
service,0.026414963230490685,0.2933802425861359,0.022442035377025604,0.09096313863992692,0.19941682517528533,0.7414272785186767,0.1339927390217781,0.13797772079706191,0.4243944764137268,0.6261934220790863
sload,0.08819836862385273,0.08511986285448074,0.021914434805512428,0.042640529572963715,0.06087175607681274,0.05025418996810913,0.027166102081537247,0.03688298910856247,0.20985581278800963,0.2401650220155716
dload,0.038991118967533114,0.03054922670125961,0.02661452516913414,0.03316924571990967,0.026586373522877692,0.02008238211274147,0.11830558106303216,0.021674992889165877,0.04926186352968216,0.1307174652814865
spkts,0.010124295763671399,0.014522318355739116,0.030627714470028877,0.02208517324179411,0.02356498036533594,0.028777630254626273,0.02593386359512806,0.01195036768913269,0.04022539220750332,0.03162332288920879
dpkts,0.008858885709196329,0.009899529349058866,0.012814430706202983,0.036576176434755324,0.01748624537140131,0.008114042808301747,0.021644340828061104,0.005410369229502976,0.014606168121099472,0.0273659186437726
swin,0.006548212363850325,0.005863478709943593,0.0027178375516086818,0.00031386205228045583,0.0038593939505517484,0.0005983848786854651,0.008191001089289784,0.0005103857634821907,0.0,0.0
dwin,0.0,0.002283605272532441,0.00010259574410156346,0.0003769859564272338,4.922095831716433e-06,5.704484738089377e-06,0.00023896771308500319,0.00027170078828930855,0.0,0.0
stcpb,0.07457952797412873,0.026028164848685264,0.01939195450395346,0.010632481426000595,0.015892730094492435,0.010311101330444217,0.01542101576924324,0.0465670570731163,0.053025387972593305,0.29280984699726104
dtcpb,0.03864226043224335,0.020279889181256294,0.01284559853374958,0.019790462404489517,0.018764762952923775,0.0218399403616786,0.015667902864515783,0.04493093490600586,0.08889985084533691,0.25108511447906495
smeansz,0.4842113733291626,0.27070521712303164,0.18405392169952392,0.15721251666545868,0.2415663033723831,0.09149942472577095,0.07296198457479477,0.7945235848426819,1.0191080570220947,1.4215574741363526
dmeansz,0.12733249813318254,0.19992172122001647,0.03317601643502712,0.09654543101787567,0.14598408788442613,0.03288991898298264,0.0692420557141304,0.12990232855081557,0.2110468029975891,0.06977982297539712
trans_depth,0.005794370966032148,0.008438007533550262,0.009940346889197826,0.013892627134919167,0.01031926479190588,0.00306114973500371,0.013731159549206496,0.015487650595605373,0.004886908736079931,0.095374209061265
res_bdy_len,0.1444648414850235,0.014178680814802646,0.01858331598341465,0.020368826016783713,0.00790732060559094,0.015604442171752452,0.013910754024982453,0.0019947045482695104,0.0,0.05841848440468311
