task,model_a,model_b,n_datasets,mean_diff_f1,wilcoxon_p,rank_biserial,cliffs_delta,note
binary,XGBoost,RandomForest,3,0.0004,1.0,0.0,0.333,n=3 datasets: p-values are underpowered; effect sizes are descriptive
binary,XGBoost,LightGBM,3,-0.0004,0.25,-1.0,-0.333,n=3 datasets: p-values are underpowered; effect sizes are descriptive
binary,XGBoost,SVM,3,0.085,0.25,1.0,1.0,n=3 datasets: p-values are underpowered; effect sizes are descriptive
binary,XGBoost,kNN,3,0.0035,0.25,1.0,0.333,n=3 datasets: p-values are underpowered; effect sizes are descriptive
binary,XGBoost,MLP,3,0.024,0.25,1.0,1.0,n=3 datasets: p-values are underpowered; effect sizes are descriptive
binary,XGBoost,CNN1D,3,0.0584,0.25,1.0,1.0,n=3 datasets: p-values are underpowered; effect sizes are descriptive
binary,XGBoost,BiLSTM,3,0.1372,0.25,1.0,1.0,n=3 datasets: p-values are underpowered; effect sizes are descriptive
binary,RandomForest,LightGBM,3,-0.0008,0.5,-0.667,-0.333,n=3 datasets: p-values are underpowered; effect sizes are descriptive
binary,RandomForest,SVM,3,0.0847,0.25,1.0,1.0,n=3 datasets: p-values are underpowered; effect sizes are descriptive
binary,RandomForest,kNN,3,0.0031,0.5,0.667,0.111,n=3 datasets: p-values are underpowered; effect sizes are descriptive
binary,RandomForest,MLP,3,0.0237,0.25,1.0,1.0,n=3 datasets: p-values are underpowered; effect sizes are descriptive
binary,RandomForest,CNN1D,3,0.0581,0.25,1.0,1.0,n=3 datasets: p-values are underpowered; effect sizes are descriptive
binary,RandomForest,BiLSTM,3,0.1369,0.25,1.0,1.0,n=3 datasets: p-values are underpowered; effect sizes are descriptive
binary,LightGBM,SVM,3,0.0854,0.25,1.0,1.0,n=3 datasets: p-values are underpowered; effect sizes are descriptive
binary,LightGBM,kNN,3,0.0039,0.25,1.0,0.556,n=3 datasets: p-values are underpowered; effect sizes are descriptive
binary,LightGBM,MLP,3,0.0244,0.25,1.0,1.0,n=3 datasets: p-values are underpowered; effect sizes are descriptive
binary,LightGBM,CNN1D,3,0.0588,0.25,1.0,1.0,n=3 datasets: p-values are underpowered; effect sizes are descriptive
binary,LightGBM,BiLSTM,3,0.1376,0.25,1.0,1.0,n=3 datasets: p-values are underpowered; effect sizes are descriptive
binary,SVM,kNN,3,-0.0815,0.25,-1.0,-1.0,n=3 datasets: p-values are underpowered; effect sizes are descriptive
binary,SVM,MLP,3,-0.061,0.25,-1.0,-0.778,n=3 datasets: p-values are underpowered; effect sizes are descriptive
binary,SVM,CNN1D,3,-0.0266,0.25,-1.0,-0.556,n=3 datasets: p-values are underpowered; effect sizes are descriptive
binary,SVM,BiLSTM,3,0.0522,0.5,0.667,0.333,n=3 datasets: p-values are underpowered; effect sizes are descriptive
binary,kNN,MLP,3,0.0205,0.5,0.667,0.778,n=3 datasets: p-values are underpowered; effect sizes are descriptive
binary,kNN,CNN1D,3,0.0549,0.25,1.0,1.0,n=3 datasets: p-values are underpowered; effect sizes are descriptive
binary,kNN,BiLSTM,3,0.1337,0.25,1.0,1.0,n=3 datasets: p-values are underpowered; effect sizes are descriptive
binary,MLP,CNN1D,3,0.0344,0.25,1.0,0.778,n=3 datasets: p-values are underpowered; effect sizes are descriptive
binary,MLP,BiLSTM,3,0.1132,0.25,1.0,0.778,n=3 datasets: p-values are underpowered; effect sizes are descriptive
binary,CNN1D,BiLSTM,3,0.0788,0.5,0.667,0.333,n=3 datasets: p-values are underpowered; effect sizes are descriptive
multi,XGBoost,RandomForest,3,0.0512,0.25,1.0,0.556,n=3 datasets: p-values are underpowered; effect sizes are descriptive
multi,XGBoost,LightGBM,3,0.2566,0.5,0.667,0.333,n=3 datasets: p-values are underpowered; effect sizes are descriptive
multi,XGBoost,SVM,3,0.3737,0.25,1.0,1.0,n=3 datasets: p-values are underpowered; effect sizes are descriptive
multi,XGBoost,kNN,3,0.1976,0.25,1.0,0.778,n=3 datasets: p-values are underpowered; effect sizes are descriptive
multi,XGBoost,MLP,3,0.1801,0.25,1.0,0.556,n=3 datasets: p-values are underpowered; effect sizes are descriptive
multi,XGBoost,CNN1D,3,0.3283,0.25,1.0,1.0,n=3 datasets: p-values are underpowered; effect sizes are descriptive
multi,XGBoost,BiLSTM,3,0.4226,0.25,1.0,1.0,n=3 datasets: p-values are underpowered; effect sizes are descriptive
multi,RandomForest,LightGBM,3,0.2054,0.5,0.667,0.333,n=3 datasets: p-values are underpowered; effect sizes are descriptive
multi,RandomForest,SVM,3,0.3225,0.25,1.0,1.0,n=3 datasets: p-values are underpowered; effect sizes are descriptive
multi,RandomForest,kNN,3,0.1464,0.25,1.0,0.778,n=3 datasets: p-values are underpowered; effect sizes are descriptive
multi,RandomForest,MLP,3,0.129,0.25,1.0,0.556,n=3 datasets: p-values are underpowered; effect sizes are descriptive
multi,RandomForest,CNN1D,3,0.2771,0.25,1.0,1.0,n=3 datasets: p-values are underpowered; effect sizes are descriptive
multi,RandomForest,BiLSTM,3,0.3714,0.25,1.0,1.0,n=3 datasets: p-values are underpowered; effect sizes are descriptive
multi,LightGBM,SVM,3,0.1171,0.5,0.667,0.111,n=3 datasets: p-values are underpowered; effect sizes are descriptive
multi,LightGBM,kNN,3,-0.059,1.0,0.0,-0.111,n=3 datasets: p-values are underpowered; effect sizes are descriptive
multi,LightGBM,MLP,3,-0.0765,0.75,-0.333,-0.333,n=3 datasets: p-values are underpowered; effect sizes are descriptive
multi,LightGBM,CNN1D,3,0.0717,0.75,0.333,0.111,n=3 datasets: p-values are underpowered; effect sizes are descriptive
multi,LightGBM,BiLSTM,3,0.166,1.0,0.0,0.111,n=3 datasets: p-values are underpowered; effect sizes are descriptive
multi,SVM,kNN,3,-0.1761,0.25,-1.0,-0.778,n=3 datasets: p-values are underpowered; effect sizes are descriptive
multi,SVM,MLP,3,-0.1935,0.25,-1.0,-0.778,n=3 datasets: p-values are underpowered; effect sizes are descriptive
multi,SVM,CNN1D,3,-0.0454,0.75,-0.333,-0.333,n=3 datasets: p-values are underpowered; effect sizes are descriptive
multi,SVM,BiLSTM,3,0.0489,0.75,0.333,0.333,n=3 datasets: p-values are underpowered; effect sizes are descriptive
multi,kNN,MLP,3,-0.0175,1.0,0.0,-0.111,n=3 datasets: p-values are underpowered; effect sizes are descriptive
multi,kNN,CNN1D,3,0.1307,0.75,0.333,0.556,n=3 datasets: p-values are underpowered; effect sizes are descriptive
multi,kNN,BiLSTM,3,0.225,0.5,0.667,0.778,n=3 datasets: p-values are underpowered; effect sizes are descriptive
multi,MLP,CNN1D,3,0.1481,0.25,1.0,0.778,n=3 datasets: p-values are underpowered; effect sizes are descriptive
multi,MLP,BiLSTM,3,0.2425,0.5,0.667,0.778,n=3 datasets: p-values are underpowered; effect sizes are descriptive
multi,CNN1D,BiLSTM,3,0.0943,0.75,0.333,0.556,n=3 datasets: p-values are underpowered; effect sizes are descriptive
